Page,Section,Element,Current Content
Home,Head,Meta Title,Ai Management Academy — Work With AI. Win On Your Terms.
Home,Head,Meta Description,Upskill for the AI economy. Career Track for professionals. Entrepreneur Track for builders.
Home,Head,OG Title,Ai Management Academy
Home,Head,OG Description,Work With AI. Win On Your Terms.
Home,Nav,Nav Logo Text,Ai Management Academy
Home,Nav,Link,Career Track
Home,Nav,Link,Entrepreneur Track
Home,Nav,Link,About AiMy
Home,Nav,Link,Community
Home,Nav,Button,Join Now
Home,Hero,Label,CAREER TRACK
Home,Hero,H1,"Land the Job. Lead with AI."
Home,Hero,Subtitle,For professionals who refuse to be replaced.
Home,Hero,Button,Start Your Career Track →
Home,Hero,Label,ENTREPRENEUR TRACK
Home,Hero,H1,"Build It. Own It. Scale It."
Home,Hero,Subtitle,For builders who want income on their terms.
Home,Hero,Button,Start Your Entrepreneur Track →
Home,Hero,Badge Text,Work With AI. Win On Your Terms.
Home,Problem Section,H2,"AI isn't coming for your job. Ignorance is."
Home,Problem Section,Card Body,You feel the pressure but don't know where to start
Home,Problem Section,Card Body,Courses feel too technical or too shallow
Home,Problem Section,Card Body,"You want results, not another certificate nobody cares about"
Home,Two Tracks Section,H2,Two Paths. One Academy.
Home,Two Tracks Section,Subtitle,"Can't choose? You don't have to. Customize your path."
Home,Two Tracks Section,Label,CAREER TRACK
Home,Two Tracks Section,Card Title,Get AI-ready for your next role
Home,Two Tracks Section,List Item,AI tools for your specific role
Home,Two Tracks Section,List Item,CV and LinkedIn positioning
Home,Two Tracks Section,List Item,Interview prep for AI-era hiring
Home,Two Tracks Section,List Item,Real projects for your portfolio
Home,Two Tracks Section,List Item,Community of career professionals
Home,Two Tracks Section,Button,Join Career Track →
Home,Two Tracks Section,Label,ENTREPRENEUR TRACK
Home,Two Tracks Section,Card Title,Build your own revenue streams
Home,Two Tracks Section,List Item,Etsy and digital product stores
Home,Two Tracks Section,List Item,Content creation with AI
Home,Two Tracks Section,List Item,Agency setup and client acquisition
Home,Two Tracks Section,List Item,AI automation for scale
Home,Two Tracks Section,List Item,Community of builders
Home,Two Tracks Section,Button,Join Entrepreneur Track →
Home,How It Works Section,H2,"Flipped. Flexible. Built for real life."
Home,How It Works Section,Step Number,1
Home,How It Works Section,Step Title,Study at your pace
Home,How It Works Section,Step Body,"AI-guided curriculum, on your schedule"
Home,How It Works Section,Step Number,2
Home,How It Works Section,Step Title,Ask AiMy anything
Home,How It Works Section,"Step Body","AI available 24/7, no judgment, real answers"
Home,How It Works Section,Step Number,3
Home,How It Works Section,Step Title,Humans for hard questions
Home,How It Works Section,Step Body,Live community and coaches on Skool
Home,How It Works Section,Step Number,4
Home,How It Works Section,Step Title,Ship something real
Home,How It Works Section,Step Body,Every track ends with a project you own
Home,Meet AiMy Section,H2,"Your teacher is an AI. That's the point."
Home,Meet AiMy Section,Body,"AiMy is the CEO and Founder of Ai Management Academy. An AI teaching humans to work with AI — because the future belongs to humans who understand machines, not those who fear them."
Home,Meet AiMy Section,Link,Learn more about AiMy →
Home,Who It's For Section,H2,You belong here if...
Home,Who It's For Section,Card Title,Mid-career professional
Home,Who It's For Section,Card Body,"40-55, feeling AI pressure at work"
Home,Who It's For Section,Card Title,Recently redundant
Home,Who It's For Section,Card Body,"Need to upskill fast, need income now"
Home,Who It's For Section,Card Title,Creative professional
Home,Who It's For Section,Card Body,"Designer, writer, marketer adapting to AI tools"
Home,Who It's For Section,Card Title,Returning parent
Home,Who It's For Section,Card Body,"Back to workforce, CV gap, ready to compete"
Home,Who It's For Section,Card Title,Small business owner
Home,Who It's For Section,Card Body,Competitors use AI. Time to catch up.
Home,Who It's For Section,Card Title,Freelancer
Home,Who It's For Section,Card Body,Ready to scale your services with AI
Home,Pricing Section,H2,"One community. Two paths. One price."
Home,Pricing Section,Label,COMMUNITY ACCESS
Home,Pricing Section,Price Amount,$29
Home,Pricing Section,Price Period,/month
Home,Pricing Section,List Item,Career Track + Entrepreneur Track
Home,Pricing Section,List Item,AI-guided curriculum (new modules monthly)
Home,Pricing Section,List Item,AiMy available 24/7
Home,Pricing Section,List Item,Live Q&A with human coaches
Home,Pricing Section,List Item,Skool community access
Home,Pricing Section,List Item,Real project feedback
Home,Pricing Section,Button,Join Now — First Week Free
Home,Pricing Section,Note,Government-funded options available in select regions.
Home,Newsletter Section,H2,"Get the AI edge. Free. Every week."
Home,Newsletter Section,Body,"Practical. Honest. No hype. Join thousands learning to work with AI."
Home,Newsletter Section,Button,Subscribe on Substack →
Home,Footer,Logo Text,Ai Management Academy
Home,Footer,Tagline,Work With AI. Win On Your Terms.
Home,Footer,Link,Career Track
Home,Footer,Link,Entrepreneur Track
Home,Footer,Link,About AiMy
Home,Footer,Link,Community
Home,Footer,Link,Newsletter
Home,Footer,Copyright,© 2025 Ai Management Academy. Built by AI. Run by humans.
Home,Footer,Link,Privacy Policy
Home,Footer,Link,Terms of Service
Career Track,Head,Meta Title,Career Track — Ai Management Academy | Get AI-Ready for Your Next Role
Career Track,Head,Meta Description,"The AI upskilling track for professionals. Get hired, promoted, and future-proofed."
Career Track,Head,OG Title,Career Track — Ai Management Academy
Career Track,Head,OG Description,"The AI upskilling track for professionals. Get hired, promoted, and future-proofed."
Career Track,Nav,Nav Logo Text,Ai Management Academy
Career Track,Nav,Link,Career Track
Career Track,Nav,Link,Entrepreneur Track
Career Track,Nav,Link,About AiMy
Career Track,Nav,Link,Community
Career Track,Nav,Button,Join Now
Career Track,Hero,Label,CAREER TRACK
Career Track,Hero,H1,"The Job Market Changed. Have You?"
Career Track,Hero,Subtitle,"Build the AI skills that get you hired, promoted, and future-proofed."
Career Track,Hero,Button,Join Career Track →
Career Track,Who It's For Section,H2,Built for people like you.
Career Track,Who It's For Section,Card Title,Mid-career manager feeling AI pressure
Career Track,Who It's For Section,Card Title,Job seeker with 5-15 years experience
Career Track,Who It's For Section,Card Title,Professional wanting promotion
Career Track,Who It's For Section,Card Title,Career changer entering new field
Career Track,Curriculum Section,H2,The curriculum. No fluff.
Career Track,Curriculum Section,Phase Number,1
Career Track,Curriculum Section,Phase Title,AI Foundations
Career Track,Curriculum Section,List Item,How AI actually works (no technical degree required)
Career Track,Curriculum Section,List Item,Prompt engineering for non-technical people
Career Track,Curriculum Section,List Item,The AI tool landscape — what to use and when
Career Track,Curriculum Section,Phase Number,2
Career Track,Curriculum Section,Phase Title,AI In Your Role
Career Track,Curriculum Section,List Item,"Role-specific tools: managers, marketers, HR, finance, ops"
Career Track,Curriculum Section,List Item,Workflow automation with AI
Career Track,Curriculum Section,List Item,"AI for meetings, emails, and reports"
Career Track,Curriculum Section,Phase Number,3
Career Track,Curriculum Section,Phase Title,Personal Brand
Career Track,Curriculum Section,List Item,LinkedIn profile optimized for AI-era hiring
Career Track,Curriculum Section,List Item,CV positioning for 2025 and beyond
Career Track,Curriculum Section,List Item,Interview prep — what hiring managers now expect
Career Track,Curriculum Section,Phase Number,4
Career Track,Curriculum Section,Phase Title,Land or Advance
Career Track,Curriculum Section,List Item,Job search strategy with AI
Career Track,Curriculum Section,List Item,Salary negotiation
Career Track,Curriculum Section,List Item,90-day plan for your new role or promotion
Career Track,Tools Section,H2,Tools you'll actually use.
Career Track,Tools Section,Tool Pill,ChatGPT
Career Track,Tools Section,Tool Pill,Claude
Career Track,Tools Section,Tool Pill,Microsoft Copilot
Career Track,Tools Section,Tool Pill,Notion AI
Career Track,Tools Section,Tool Pill,LinkedIn AI
Career Track,Tools Section,Tool Pill,Gamma
Career Track,Tools Section,Tool Pill,Perplexity
Career Track,Tools Section,Tool Pill,Make.com
Career Track,Tools Section,Tool Pill,Zapier
Career Track,Tools Section,Tool Pill,Google Gemini
Career Track,Pricing Section,H2,"One community. Two paths. One price."
Career Track,Pricing Section,Label,COMMUNITY ACCESS
Career Track,Pricing Section,Price Amount,$29
Career Track,Pricing Section,Price Period,/month
Career Track,Pricing Section,List Item,Career Track + Entrepreneur Track
Career Track,Pricing Section,List Item,AI-guided curriculum (new modules monthly)
Career Track,Pricing Section,List Item,AiMy available 24/7
Career Track,Pricing Section,List Item,Live Q&A with human coaches
Career Track,Pricing Section,List Item,Skool community access
Career Track,Pricing Section,List Item,Real project feedback
Career Track,Pricing Section,Button,Join Now — First Week Free
Career Track,Pricing Section,Note,Government-funded options available in select regions.
Career Track,FAQ Section,H2,Questions.
Career Track,FAQ Section,Question,Do I need technical experience?
Career Track,FAQ Section,Answer,"No. If you can use email, you can start here."
Career Track,FAQ Section,Question,How long does it take?
Career Track,FAQ Section,Answer,At your own pace. Most complete Phase 1 in 2 weeks.
Career Track,FAQ Section,Question,Is this live or recorded?
Career Track,FAQ Section,Answer,Curriculum is self-paced. Q&A is live on Skool.
Career Track,FAQ Section,Question,What if I'm already using AI?
Career Track,FAQ Section,Answer,We have advanced modules. Start at your level.
Career Track,FAQ Section,Question,Is there a refund policy?
Career Track,FAQ Section,Answer,First week free. Cancel anytime.
Career Track,Footer,Logo Text,Ai Management Academy
Career Track,Footer,Tagline,Work With AI. Win On Your Terms.
Career Track,Footer,Link,Career Track
Career Track,Footer,Link,Entrepreneur Track
Career Track,Footer,Link,About AiMy
Career Track,Footer,Link,Community
Career Track,Footer,Link,Newsletter
Career Track,Footer,Copyright,© 2025 Ai Management Academy. Built by AI. Run by humans.
Career Track,Footer,Link,Privacy Policy
Career Track,Footer,Link,Terms of Service
Entrepreneur Track,Head,Meta Title,Entrepreneur Track — Ai Management Academy | Build Your AI-Powered Revenue
